Pixel-X	Pixel-Y	Longitude	Latitude	rhos_492	rhos_559	rhos_665	rhos_739	rhos_833	rhos_1610	l2_negatives	lon	lat	ndvi	fdi	virtual_red	virtual_green	virtual_blue
389.5	504.5	-2.567896604537964	56.19270706176758	0.053484004	0.059724245	0.046300687	0.050451946	0.06394586	0.021455163	0	-2.5678966	56.192707	0.16005193	0.06504375	0.046300687	0.059724245	0.053484004
419.5	504.5	-2.5630624294281006	56.192691802978516	0.034282856	0.030818025	0.022489067	0.07883523	0.03666334	0.033096462	0	-2.5630624	56.19269	0.2396229	0.03914147	0.022489067	0.030818025	0.034282856
421.5	504.5	-2.5627400875091553	56.19268798828125	0.035430204	0.03420513	0.026042318	0.06318872	0.03666334	0.020944526	0	-2.56274	56.192688	0.16937898	0.048575405	0.026042318	0.03420513	0.035430204
426.5	504.5	-2.561934471130371	56.19268798828125	0.035302736	0.032574575	0.022489067	0.02233222	0.023958363	0.008687937	0	-2.5619345	56.192688	0.031633515	0.025882646	0.022489067	0.032574575	0.035302736
425.5	505.5	-2.56209659576416	56.192596435546875	0.034920324	0.027428664	0.019393034	0.036683656	0.022046003	0.015633652	0	-2.5620966	56.192596	0.06402101	0.022784578	0.019393034	0.027428664	0.034920324
428.5	505.5	-2.5616133213043213	56.192596435546875	0.033645283	0.02993951	0.01927835	0.020862088	0.02047092	0.008381489	0	-2.5616133	56.192596	0.030002307	0.021796564	0.01927835	0.02993951	0.033645283
389.5	506.5	-2.5678985118865967	56.192527770996094	0.042688172	0.049481902	0.037608333	0.030244848	0.045988016	0.019412592	0	-2.5678985	56.192528	0.10023982	0.03500051	0.037608333	0.049481902	0.042688172
425.5	506.5	-2.5620975494384766	56.192508697509766	0.030966219	0.030316042	0.021113202	0.04548838	0.022608487	0.013080175	0	-2.5620975	56.19251	0.034200072	0.034734692	0.021113202	0.030316042	0.030966219
389.5	508.5	-2.5679006576538086	56.19234848022461	0.034282856	0.033578053	0.023750072	0.026628375	0.024970684	0.010935169	0	-2.5679007	56.19235	0.02505322	0.026241343	0.023750072	0.033578053	0.034282856
391.5	508.5	-2.5675783157348633	56.19234848022461	0.037214234	0.035459038	0.026500687	0.07219671	0.038236614	0.02431464	0	-2.5675783	56.19235	0.1812854	0.05116358	0.026500687	0.035459038	0.037214234
424.5	508.5	-2.562260866165161	56.19232940673828	0.047391567	0.051607	0.036807254	0.061048195	0.039360266	0.017880619	0	-2.5622609	56.19233	0.033518385	0.05505443	0.036807254	0.051607	0.047391567
426.5	508.5	-2.561938524246216	56.19232940673828	0.032624923	0.029813994	0.020654524	0.030018851	0.023395933	0.010730878	0	-2.5619385	56.19233	0.062233396	0.02766681	0.020654524	0.029813994	0.032624923
389.5	509.5	-2.567901611328125	56.192256927490234	0.04103415	0.038216572	0.030739404	0.026628375	0.033741087	0.010935169	0	-2.5679016	56.192257	0.046551794	0.035011746	0.030739404	0.038216572	0.04103415
398.5	509.5	-2.56645131111145	56.19225311279297	0.10472598	0.12062585	0.14831151	0.17000417	0.21799666	0.17852056	0	-2.5664513	56.192253	0.1902364	0.03285224	0.14831151	0.12062585	0.10472598
423.5	509.5	-2.56242299079895	56.192237854003906	0.048407696	0.043101262	0.042641874	0.07410992	0.054071873	0.027173981	0	-2.562423	56.192238	0.11818381	0.06340362	0.042641874	0.043101262	0.048407696
389.5	510.5	-2.5679025650024414	56.192169189453125	0.035175264	0.03407972	0.024667053	0.026741402	0.030256068	0.013897299	0	-2.5679026	56.19217	0.10176071	0.026348628	0.024667053	0.03407972	0.035175264
399.5	510.5	-2.566291332244873	56.192161560058594	0.10635051	0.15270394	0.1772719	0.17992501	0.26473463	0.20194243	0	-2.5662913	56.19216	0.19787654	0.045667537	0.1772719	0.15270394	0.10635051
390.5	511.5	-2.567742347717285	56.19207763671875	0.039633986	0.038216572	0.027761078	0.07714786	0.0368881	0.034628037	0	-2.5677423	56.192078	0.14117771	0.035331033	0.027761078	0.038216572	0.039633986
428.5	511.5	-2.561619281768799	56.19205856323242	0.03848799	0.03420513	0.024667053	0.024028273	0.027332485	0.0096072685	0	-2.5616193	56.19206	0.05125877	0.028941553	0.024667053	0.03420513	0.03848799
390.5	512.5	-2.5677435398101807	56.19198989868164	0.03402784	0.02968849	0.021342527	0.03826453	0.02384588	0.017880619	0	-2.5677435	56.19199	0.055398107	0.021819415	0.021342527	0.02968849	0.03402784
391.5	512.5	-2.567582368850708	56.191986083984375	0.03797855	0.04247529	0.030166738	0.03826453	0.04284303	0.017880619	0	-2.5675824	56.191986	0.17362459	0.040816564	0.030166738	0.04247529	0.03797855
429.5	512.5	-2.5614593029022217	56.19196701049805	0.03441036	0.032574575	0.021915812	0.046165366	0.025083164	0.014305857	0	-2.5614593	56.191967	0.06739193	0.035556924	0.021915812	0.032574575	0.03441036
434.5	512.5	-2.5606536865234375	56.19196319580078	0.032752488	0.02680076	0.018704873	0.02233222	0.01979583	0.0088922335	0	-2.5606537	56.191963	0.028336026	0.021356918	0.018704873	0.02680076	0.032752488
390.5	513.5	-2.567744493484497	56.191898345947266	0.03211464	0.028558698	0.02122786	0.03826453	0.02328344	0.017880619	0	-2.5677445	56.1919	0.046181075	0.021256976	0.02122786	0.028558698	0.03211464
391.5	513.5	-2.5675833225250244	56.191898345947266	0.03836064	0.038341884	0.029479476	0.03826453	0.03183005	0.017880619	0	-2.5675833	56.1919	0.038339466	0.029803585	0.029479476	0.038341884	0.03836064
430.5	513.5	-2.5612990856170654	56.19187545776367	0.03708684	0.029311912	0.022030469	0.020975178	0.02328344	0.010833024	0	-2.561299	56.191875	0.027650926	0.020338759	0.022030469	0.029311912	0.03708684
434.5	513.5	-2.560654640197754	56.19187545776367	0.032242212	0.028056493	0.018704873	0.02233222	0.019683313	0.0088922335	0	-2.5606546	56.191875	0.025488053	0.021244401	0.018704873	0.028056493	0.032242212
391.5	514.5	-2.567584276199341	56.19180679321289	0.033772808	0.029311912	0.020654524	0.02074899	0.022158502	0.011241603	0	-2.5675843	56.191807	0.03512898	0.018311534	0.020654524	0.029311912	0.033772808
392.5	514.5	-2.5674233436584473	56.19180679321289	0.034282856	0.030567031	0.022374421	0.025158834	0.025308108	0.01481655	0	-2.5674233	56.191807	0.061525397	0.018535556	0.022374421	0.030567031	0.034282856
393.5	514.5	-2.5672621726989746	56.19180679321289	0.03326268	0.031570897	0.022832999	0.025158834	0.025982933	0.01481655	0	-2.5672622	56.191807	0.06452677	0.019210381	0.022832999	0.031570897	0.03326268
397.5	514.5	-2.566617488861084	56.191802978515625	0.035940025	0.035082903	0.025927722	0.037022438	0.040483825	0.02686763	0	-2.5666175	56.191803	0.2191803	0.021514378	0.025927722	0.035082903	0.035940025
397.5	515.5	-2.5666186809539795	56.191715240478516	0.034792837	0.034581337	0.024781661	0.037022438	0.039023172	0.02686763	0	-2.5666187	56.191715	0.22320427	0.020053726	0.024781661	0.034581337	0.034792837
432.5	515.5	-2.560978889465332	56.19169616699219	0.03441036	0.031194475	0.020654524	0.022897603	0.02429581	0.009709418	0	-2.560979	56.191696	0.08100689	0.02484387	0.020654524	0.031194475	0.03441036
393.5	516.5	-2.5672640800476074	56.191627502441406	0.034920324	0.031194475	0.021686504	0.03600607	0.026432797	0.019514723	0	-2.567264	56.191628	0.098635964	0.01974468	0.021686504	0.031194475	0.034920324
434.5	516.5	-2.5606577396392822	56.19160461425781	0.033135146	0.029186388	0.020883866	0.030018851	0.022158502	0.010628733	0	-2.5606577	56.191605	0.029613521	0.026610972	0.020883866	0.029186388	0.033135146
392.5	517.5	-2.5674262046813965	56.1915397644043	0.03632233	0.031570897	0.022718353	0.03600607	0.026882647	0.019514723	0	-2.5674262	56.19154	0.08395584	0.020194529	0.022718353	0.031570897	0.03632233
393.5	517.5	-2.567265033721924	56.19153594970703	0.040652346	0.04297608	0.03199914	0.03600607	0.0505919	0.019514723	0	-2.567265	56.191536	0.22511835	0.043903783	0.03199914	0.04297608	0.040652346
438.5	517.5	-2.560014247894287	56.19151306152344	0.032752488	0.028182045	0.018704873	0.021201363	0.019683313	0.008585788	0	-2.5600142	56.191513	0.025488053	0.020909637	0.018704873	0.028182045	0.032752488
392.5	518.5	-2.567427158355713	56.19144821166992	0.039633986	0.039845318	0.027761078	0.065103546	0.03846135	0.03605747	0	-2.5674272	56.19145	0.1615808	0.024995275	0.027761078	0.039845318	0.039633986
435.5	518.5	-2.5604987144470215	56.19142532348633	0.03797855	0.03608588	0.026271505	0.069607675	0.029131684	0.01736995	0	-2.5604987	56.191425	0.051624812	0.052391075	0.026271505	0.03608588	0.03797855
446.5	518.5	-2.5587260723114014	56.1914176940918	0.032880038	0.02680076	0.018131357	0.018713063	0.019120712	0.008381489	0	-2.558726	56.191418	0.026558395	0.018774891	0.018131357	0.02680076	0.032880038
