Pixel-X	Pixel-Y	Longitude	Latitude	lat	lon	rhos_492	rhos_560	rhos_665	rhos_740	rhos_833	rhos_1614
4525.5	1368.5	0.11632893979549408	5.698709487915039	5.6987095	0.11632894	0.054655124	0.06953084	0.062483642	0.047545817	0.07210297	0.027995342
4520.5	1373.5	0.11587562412023544	5.698260307312012	5.6982603	0.115875624	0.04909492	0.065117076	0.05360069	0.034445513	0.06044239	0.02441725
4529.5	1374.5	0.11668671667575836	5.698165416717529	5.6981654	0.11668672	0.049336866	0.06475901	0.046708483	0.032697257	0.05053116	0.02349705
4522.5	1377.5	0.11605402082204819	5.697897911071777	5.697898	0.11605402	0.053326342	0.066071756	0.04993312	0.034991767	0.052183714	0.022372298
4530.5	1377.5	0.11677543073892593	5.6978936195373535	5.6978936	0.11677543	0.05272219	0.06308772	0.050155446	0.03455477	0.052624352	0.026257502
4531.5	1377.5	0.1168656125664711	5.697893142700195	5.697893	0.11686561	0.050062582	0.061774135	0.04993312	0.03455477	0.052734513	0.026257502
4539.5	1377.5	0.11758702248334885	5.69788932800293	5.6978893	0.11758702	0.05066722	0.06296831	0.047820594	0.032915816	0.053175118	0.02451949
4547.5	1382.5	0.1183059886097908	5.697433948516846	5.697434	0.11830599	0.053205527	0.066071756	0.053045124	0.033789963	0.05724985	0.021554248
4525.5	1385.5	0.1163206547498703	5.697173595428467	5.6971736	0.116320655	0.05066722	0.061774135	0.04459497	0.036084168	0.047445647	0.022883559
4525.5	1386.5	0.1163201630115509	5.697082996368408	5.697083	0.11632016	0.052963864	0.06296831	0.046263583	0.039797273	0.04998024	0.026359733
4539.5	1389.5	0.11758116632699966	5.696805477142334	5.6968055	0.11758117	0.051997047	0.06308772	0.047153346	0.03630263	0.04987006	0.024315007
4548.5	1389.5	0.11839275062084198	5.696800708770752	5.6968007	0.11839275	0.053930398	0.064042814	0.061040945	0.03433626	0.06440413	0.023701541
4525.5	1393.5	0.11631675064563751	5.696450710296631	5.6964507	0.11631675	0.05030445	0.062132414	0.052822884	0.03411774	0.055047497	0.024928449
4536.5	1399.5	0.11730576306581497	5.695903301239014	5.6959033	0.11730576	0.04982069	0.0616547	0.047709387	0.0324787	0.0565892	0.0253374
4548.5	1407.5	0.1183839738368988	5.695174694061279	5.6951747	0.118383974	0.047642916	0.056874786	0.045373704	0.032041576	0.047335427	0.018486232
4530.5	1414.5	0.11675740033388138	5.69455099105835	5.694551	0.1167574	0.049336866	0.062610105	0.043704867	0.03160442	0.04700477	0.01930442
4558.5	1417.5	0.1192808523774147	5.694266319274902	5.6942663	0.11928085	0.04921589	0.054961447	0.040032007	0.034227	0.045682065	0.020122575
4553.5	1418.5	0.11882948875427246	5.694178581237793	5.6941786	0.11882949	0.051029958	0.060699113	0.050600093	0.033025086	0.05791046	0.021861022
4558.5	1418.5	0.1192803606390953	5.694176197052002	5.694176	0.11928036	0.051271755	0.06272951	0.044706214	0.030730046	0.049759865	0.020327104
4100.5	2130.5	0.07763850688934326	5.630069255828857	5.6300693	0.07763851	0.03211544	0.031699553	0.023200767	0.024388095	0.026482923	0.010813839
4093.5	2134.5	0.07700542360544205	5.629711151123047	5.629711	0.07700542	0.03442486	0.035784762	0.025209308	0.024169324	0.026262026	0.011939333
4090.5	2136.5	0.07673396170139313	5.629532337188721	5.6295323	0.07673396	0.031507432	0.03133892	0.02364716	0.023403576	0.02559931	0.011632387
4089.5	2137.5	0.07664331793785095	5.62944221496582	5.629442	0.07664332	0.03357421	0.03266109	0.024651436	0.023622368	0.025930673	0.011632387
4082.5	2138.5	0.07601166516542435	5.629355430603027	5.6293554	0.076011665	0.06827463	0.0804875	0.09182644	0.05615903	0.105578445	0.051388282
4087.5	2138.5	0.0764625072479248	5.629353046417236	5.629353	0.07646251	0.031993844	0.031459134	0.024093525	0.025700614	0.025157476	0.013473981
4081.5	2139.5	0.07592101395130157	5.629265308380127	5.6292653	0.075921014	0.053688794	0.061774135	0.0669208	0.04198068	0.07265266	0.048223384
4087.5	2139.5	0.0764620304107666	5.629262447357178	5.6292624	0.07646203	0.03284491	0.03254092	0.023870349	0.025700614	0.0253784	0.013473981
4084.5	2141.5	0.07619057595729828	5.629083156585693	5.629083	0.076190576	0.036854107	0.043105185	0.038361873	0.029199667	0.045020644	0.01756572
4084.5	2142.5	0.07619009912014008	5.628993034362793	5.628993	0.0761901	0.038796242	0.04658135	0.04904371	0.04187152	0.052183714	0.023394803
4104.5	2145.5	0.07799205183982849	5.628712177276611	5.628712	0.07799205	0.03491085	0.039626416	0.028890103	0.023294175	0.031230984	0.014599305
